mission_time,x,y,z,magnitude
5441.95,30750,1200,-28636,42035.97264248801
5441.97,30900,1200,-30886,43705.77760433968
5441.99,30599,1050,-30436,43171.187115945744
5442.01,30900,2250,-31036,43853.23016608925
5442.03,30900,1500,-32236,44679.074475642396
5442.05,31650,2550,32700,45579.765247311225
5442.07,31650,3449,32550,45531.5341384408
5442.09,32250,5100,-32536,46094.07549783377
5442.11,32250,5850,32250,45982.03453523995
5442.13,31800,7200,31500,45335.74748473879
5442.15,32700,8100,31050,45814.87203954629
5442.17,-32686,9750,31500,46429.377510365135
5442.19,-32236,11850,32100,47010.554091607984
5442.21,-31486,13500,32400,47152.711438474034
5442.23,-31336,14550,-31486,46744.15035060537
5442.25,-31636,14700,-31936,47295.18571694163
5442.26,-31186,15450,-31636,47033.02660896915
5442.28,-31036,15600,-29387,45499.330379688006
5442.3,-31036,16050,-28786,45271.06793527186
5442.32,-31186,16500,-27886,44971.60873262152
5442.34,-32236,17100,-26086,44855.87020669647
5442.36,-32236,17550,-24286,44011.04397761998
5442.38,-32236,16950,-22637,42882.35027374316
5442.4,-31936,16200,-21286,41658.63526329205
5442.42,-31336,16500,-20536,40938.02867750229
5442.44,-32686,17850,-19486,42032.14593617604
5442.46,32700,18000,-18886,41832.654661161534
5442.48,31950,18300,-17836,40912.28905842351
5442.5,32550,18450,-16936,41069.856293880555
5442.52,31650,18750,-16186,40190.44159996255
5442.54,32250,18150,-15586,40154.80539113594
5442.56,32100,18150,-15436,39976.27541430042
5442.58,31800,19350,-13786,39695.29312147726
5442.6,31500,18750,-13486,39060.01402969538
5442.62,30750,18600,-13336,38332.38051569456
5442.64,30599,19200,-11836,38013.5462302585
5442.66,30450,19800,-11536,38109.34001002904
5442.67,30900,21750,-12736,39875.78458162297
5442.69,30750,21449,-11836,39315.556679258654
5442.71,30450,23400,-12137,40274.92109241184
5442.73,29850,23250,-12137,39735.27109508629
5442.75,30450,26100,-13936,42457.326764646874
5442.77,30450,27599,-14536,43591.31332043117
5442.79,31200,28350,-16036,45103.39007214425
5442.81,30300,30000,-16936,45879.38639519931
5442.83,31500,32250,-18136,48592.458221415385
5442.85,30150,-32086,-19786,48270.27752147277
5442.87,30900,-31186,-21286,48790.064480383706
5442.89,30900,-29836,-22036,48276.10373673501
5442.91,30150,-27736,-25186,48089.94481177952
5442.93,29400,-28036,-25936,48198.06419349225
5442.95,30599,-27286,-27886,49582.795332655456
5442.97,30300,-27286,-28486,49740.003940490395
5442.99,30000,-27136,-29387,49999.582648258176
5443.01,30450,-27886,-30586,51384.189124671415
5443.03,30450,-28336,-30286,51452.63056443276
5443.05,30300,-28486,-30136,51358.745039184905
5443.06,31650,-29236,-30436,52752.40555652415
5443.08,30450,-29686,-29686,51862.5075753188
5443.1,31050,-29986,-28636,51800.416909519176
5443.12,30150,-29986,-27736,50768.77378861932
5443.14,31950,-31786,-28186,53156.4002919686
5443.16,31200,-30736,-26836,51364.507123109826
5443.18,31800,32550,-27436,53136.396151790344
5443.2,30900,32400,-26686,52122.093165950275
5443.22,31200,31950,-26686,52022.92856039537
5443.24,31350,32400,-26986,52543.569501890524
5443.26,32100,32400,-27586,53302.50834623076
5443.28,31800,32550,-28036,53448.665053488476
5443.3,32100,31950,-29236,53906.92159639613
5443.32,31650,31800,-29387,53633.5554387363
5443.34,31950,32250,-30886,54907.285454664394
