mission_time,latitude,longitude
5713.2,47.9529024,-81.8100864
5713.29,47.9529024,-81.8100864
5713.29,47.9529088,-81.81008
5713.37,47.9529088,-81.81008
5713.4,47.9529152,-81.8100672
5713.45,47.9529152,-81.8100672
5713.49,47.9529184,-81.8100608
5713.53,47.9529184,-81.8100608
5713.59,47.952928,-81.810048
5713.61,47.952928,-81.810048
5713.69,47.9529312,-81.8100352
5713.7,47.9529312,-81.8100352
5713.79,47.9529312,-81.8100352
5713.79,47.9529376,-81.8100288
5713.86,47.9529376,-81.8100288
5713.89,47.9529408,-81.8100224
5713.94,47.9529408,-81.8100224
5714.0,47.9529504,-81.8100032
5714.03,47.9529504,-81.8100032
5714.09,47.9529536,-81.8099968
5714.11,47.9529536,-81.8099968
5714.19,47.9529568,-81.8099904
5714.2,47.9529568,-81.8099904
5714.28,47.9529568,-81.8099904
5714.29,47.9529632,-81.809984
5714.36,47.9529632,-81.809984
5714.4,47.9529696,-81.8099648
5714.44,47.9529696,-81.8099648
5714.49,47.9529728,-81.8099584
5714.53,47.9529728,-81.8099584
5714.59,47.9529792,-81.809952
5714.61,47.9529792,-81.809952
5714.69,47.9529824,-81.8099392
5714.69,47.9529824,-81.8099392
5714.78,47.9529824,-81.8099392
5714.79,47.9529888,-81.8099264
5714.86,47.9529888,-81.8099264
5714.89,47.952992,-81.80992
5714.94,47.952992,-81.80992
5715.0,47.9529952,-81.8099072
5715.02,47.9529952,-81.8099072
5715.1,47.9530016,-81.8099008
5715.11,47.9530016,-81.8099008
5715.19,47.9530016,-81.8099008
5715.2,47.953008,-81.8098816
5715.27,47.953008,-81.8098816
5715.29,47.9530144,-81.8098752
5715.359,47.9530144,-81.8098752
5715.39,47.9530176,-81.8098624
5715.44,47.9530176,-81.8098624
5715.49,47.9530272,-81.8098432
5715.52,47.9530272,-81.8098432
5715.59,47.9530304,-81.8098368
5715.6,47.9530304,-81.8098368
5715.68,47.9530304,-81.8098368
5715.69,47.9530336,-81.809824
5715.76,47.9530336,-81.809824
5715.79,47.9530368,-81.8098176
5715.85,47.9530368,-81.8098176
5715.89,47.9530464,-81.8097984
5715.93,47.9530464,-81.8097984
5715.999,47.9530496,-81.809792
5716.01,47.9530496,-81.809792
5716.09,47.9530496,-81.8097856
5716.1,47.9530496,-81.8097856
5716.18,47.9530496,-81.8097856
5716.19,47.9530528,-81.8097792
5716.26,47.9530528,-81.8097792
5716.29,47.9530592,-81.80976
5716.35,47.9530592,-81.80976
5716.39,47.9530624,-81.8097536
5716.44,47.9530624,-81.8097536
5716.49,47.9530688,-81.8097472
5716.51,47.9530688,-81.8097472
5716.59,47.9530688,-81.8097472
5716.59,47.953072,-81.8097408
5716.68,47.953072,-81.8097408
5716.69,47.953072,-81.809728
5716.76,47.953072,-81.809728
5716.79,47.9530752,-81.8097216
5716.85,47.9530752,-81.8097216
5716.89,47.9530752,-81.8097216
5716.94,47.9530752,-81.8097216
5717.0,47.9530784,-81.8097152
5717.01,47.9530784,-81.8097152
5717.09,47.9530784,-81.8097152
5717.09,47.9530752,-81.8097088
5717.17,47.9530752,-81.8097088
5717.19,47.9530752,-81.8097088
5717.26,47.9530752,-81.8097088
5717.29,47.9530752,-81.8097024
5717.34,47.9530752,-81.8097024
5717.39,47.953072,-81.8096896
5717.43,47.953072,-81.8096896
5717.5,47.953072,-81.8096832
5717.5,47.953072,-81.8096832
5717.59,47.953072,-81.8096832
5717.59,47.953072,-81.8096832
5717.68,47.953072,-81.8096832
5717.69,47.953072,-81.8096768
5717.76,47.953072,-81.8096768
5717.79,47.953072,-81.809664
5717.84,47.953072,-81.809664
5717.89,47.953072,-81.8096512
5717.919,47.953072,-81.8096512
5718.0,47.953072,-81.8096384
5718.0,47.953072,-81.8096384
5718.09,47.953072,-81.8096384
5718.09,47.9530752,-81.8096256
5718.17,47.9530752,-81.8096256
5718.19,47.9530752,-81.8096064
5718.26,47.9530752,-81.8096064
5718.29,47.9530784,-81.8095936
5718.34,47.9530784,-81.8095936
5718.39,47.9530816,-81.8095872
5718.41,47.9530816,-81.8095872
5718.49,47.9530816,-81.809568
5718.5,47.9530816,-81.809568
5718.59,47.9530816,-81.809568
5718.59,47.953088,-81.8095552
5718.67,47.953088,-81.8095552
5718.69,47.953088,-81.8095424
5718.76,47.953088,-81.8095424
5718.79,47.9530912,-81.8095296
5718.83,47.9530912,-81.8095296
5718.89,47.9530944,-81.8095168
5718.91,47.9530944,-81.8095168
5719.0,47.9530944,-81.809504
5719.0,47.9530944,-81.809504
5719.09,47.9530944,-81.809504
5719.09,47.9530944,-81.8094912
5719.17,47.9530944,-81.8094912
5719.19,47.9530944,-81.8094848
5719.25,47.9530944,-81.8094848
5719.3,47.9530976,-81.809472
5719.32,47.9530976,-81.809472
5719.39,47.9530976,-81.8094656
5719.4,47.9530976,-81.8094656
5719.49,47.9530976,-81.8094528
5719.49,47.9530976,-81.8094528
5719.58,47.9530976,-81.8094528
5719.59,47.9530944,-81.8094464
5719.66,47.9530944,-81.8094464
5719.69,47.9530944,-81.80944
5719.74,47.9530944,-81.80944
5719.79,47.9530944,-81.8094336
5719.82,47.9530944,-81.8094336
5719.89,47.9530912,-81.8094272
5719.9,47.9530912,-81.8094272
5719.99,47.9530912,-81.8094272
5720.0,47.9530912,-81.8094208
5720.08,47.9530912,-81.8094208
5720.09,47.9530912,-81.809408
5720.16,47.9530912,-81.809408
5720.19,47.953088,-81.8094016
5720.23,47.953088,-81.8094016
5720.29,47.953088,-81.8094016
5720.31,47.953088,-81.8094016
5720.39,47.953088,-81.8093952
5720.4,47.953088,-81.8093952
5720.49,47.953088,-81.8093952
5720.49,47.953088,-81.8093888
5720.57,47.953088,-81.8093888
5720.59,47.9530816,-81.8093824
5720.66,47.9530816,-81.8093824
5720.69,47.9530816,-81.8093696
5720.74,47.9530816,-81.8093696
5720.79,47.9530816,-81.8093568
5720.82,47.9530816,-81.8093568
5720.89,47.9530816,-81.8093504
5720.9,47.9530816,-81.8093504
5720.99,47.9530816,-81.8093504
