mission_time,celsius
5505.26,20.6
5505.33,20.6
5505.4,20.6
5505.47,20.6
5505.54,20.6
5505.61,20.6
5505.68,20.6
5505.75,20.6
5505.82,20.6
5505.89,20.59
5505.96,20.58
5506.03,20.58
5506.1,20.57
5506.17,20.55
5506.24,20.53
5506.31,20.52
5506.38,20.51
5506.45,20.5
5506.52,20.5
5506.59,20.52
5506.66,20.54
5506.73,20.56
5506.8,20.57
5506.87,20.57
5506.94,20.57
5507.01,20.57
5507.08,20.56
5507.15,20.56
5507.22,20.57
5507.29,20.56
5507.359,20.56
5507.43,20.55
5507.5,20.55
5507.57,20.55
5507.64,20.54
5507.71,20.53
5507.78,20.51
5507.85,20.5
5507.92,20.49
5507.99,20.5
5508.06,20.51
5508.13,20.52
5508.2,20.53
5508.27,20.53
5508.34,20.53
5508.41,20.53
5508.48,20.52
5508.55,20.52
5508.62,20.52
5508.69,20.51
5508.76,20.51
5508.83,20.5
5508.9,20.5
5508.97,20.49
5509.04,20.49
5509.11,20.47
5509.18,20.46
5509.25,20.44
5509.32,20.43
5509.39,20.42
5509.46,20.42
5509.53,20.43
5509.6,20.43
5509.67,20.44
5509.74,20.45
5509.81,20.46
5509.88,20.47
5509.95,20.47
5510.02,20.46
5510.09,20.46
5510.16,20.46
5510.23,20.45
5510.3,20.45
5510.37,20.45
5510.44,20.44
5510.51,20.44
5510.58,20.44
5510.65,20.43
5510.72,20.43
5510.79,20.43
5510.86,20.42
5510.93,20.42
5511.0,20.42
5511.07,20.42
5511.14,20.42
5511.21,20.41
5511.28,20.41
5511.35,20.41
5511.42,20.41
5511.49,20.4
5511.56,20.4
5511.63,20.4
5511.7,20.4
5511.77,20.39
5511.839,20.39
5511.91,20.39
5511.98,20.38
5512.05,20.38
5512.12,20.38
5512.19,20.38
5512.26,20.38
5512.33,20.37
5512.4,20.37
5512.47,20.37
5512.54,20.37
5512.61,20.36
5512.68,20.36
5512.75,20.36
5512.82,20.36
5512.89,20.35
5512.96,20.35
5513.03,20.35
5513.1,20.34
5513.17,20.34
5513.24,20.33
5513.31,20.32
5513.38,20.3
5513.45,20.29
5513.52,20.27
5513.59,20.27
5513.66,20.27
5513.73,20.27
5513.8,20.27
5513.87,20.26
5513.94,20.27
5514.01,20.27
5514.08,20.28
5514.15,20.29
5514.22,20.29
5514.29,20.28
5514.36,20.28
5514.43,20.27
5514.5,20.27
5514.57,20.27
5514.64,20.26
5514.71,20.25
5514.78,20.24
5514.85,20.23
5514.92,20.22
5514.99,20.22
5515.06,20.22
5515.13,20.22
5515.2,20.22
5515.27,20.23
5515.34,20.23
5515.41,20.24
5515.48,20.24
5515.55,20.24
5515.62,20.24
5515.69,20.24
5515.76,20.24
5515.83,20.24
5515.9,20.24
5515.97,20.26
5516.04,20.26
5516.11,20.26
5516.18,20.25
5516.25,20.26
5516.319,20.25
5516.39,20.25
5516.46,20.25
5516.53,20.25
5516.6,20.24
5516.67,20.24
5516.74,20.24
5516.81,20.24
5516.88,20.23
5516.95,20.23
5517.02,20.23
5517.09,20.23
5517.16,20.22
5517.23,20.22
5517.3,20.22
5517.37,20.22
5517.44,20.22
5517.51,20.22
5517.58,20.22
5517.65,20.21
5517.72,20.21
5517.79,20.21
5517.86,20.2
5517.93,20.2
5518.0,20.2
5518.07,20.2
